Date,Country,Min Wage
13-Jun,INDONESIA,2200000
13-Jun,INDIA,361
13-Jun,BANGLADESH,5300
13-Jun,VIETNAM,1650000
13-Jul,CHINA,1600
13-Jul,INDONESIA,2200000
13-Jul,INDIA,361
13-Jul,BANGLADESH,5300
13-Jul,VIETNAM,1650000
13-Aug,CHINA,1600
13-Aug,INDONESIA,2200000
13-Aug,INDIA,361
13-Aug,BANGLADESH,5300
13-Aug,VIETNAM,1650000
13-Sep,CHINA,1600
13-Sep,INDONESIA,2200000
13-Sep,INDIA,361
13-Sep,BANGLADESH,5300
13-Sep,VIETNAM,1650000
13-Oct,CHINA,1600
13-Oct,INDONESIA,2200000
13-Oct,INDIA,377
13-Oct,BANGLADESH,5300
13-Oct,VIETNAM,1650000
13-Nov,CHINA,1600
13-Nov,INDONESIA,2200000
13-Nov,INDIA,377
13-Nov,BANGLADESH,5300
13-Nov,VIETNAM,1650000
13-Dec,CHINA,1600
13-Dec,INDONESIA,2200000
13-Dec,INDIA,377
13-Dec,BANGLADESH,5300
13-Dec,VIETNAM,1650000
14-Jan,CHINA,1600
14-Jan,INDONESIA,2400000
14-Jan,INDIA,377
14-Jan,BANGLADESH,5300
14-Jan,VIETNAM,1900000
14-Feb,CHINA,1810
14-Feb,INDONESIA,2400000
14-Feb,INDIA,377
14-Feb,BANGLADESH,5300
14-Feb,VIETNAM,1900000
14-Mar,CHINA,1810
14-Mar,INDONESIA,2400000
14-Mar,INDIA,377
14-Mar,BANGLADESH,5300
14-Mar,VIETNAM,1900000
14-Apr,CHINA,1810
14-Apr,INDONESIA,2400000
14-Apr,INDIA,399
14-Apr,BANGLADESH,5300
14-Apr,VIETNAM,1900000
14-May,CHINA,1810
14-May,INDONESIA,2400000
14-May,INDIA,399
14-May,BANGLADESH,5300
14-May,VIETNAM,1900000
14-Jun,CHINA,1810
14-Jun,INDONESIA,2400000
14-Jun,INDIA,399
14-Jun,BANGLADESH,5300
14-Jun,VIETNAM,1900000
14-Jul,CHINA,1810
14-Jul,INDONESIA,2400000
14-Jul,INDIA,399
14-Jul,BANGLADESH,5300
14-Jul,VIETNAM,1900000
14-Aug,CHINA,1810
14-Aug,INDONESIA,2400000
14-Aug,INDIA,399
14-Aug,BANGLADESH,5300
14-Aug,VIETNAM,1900000
14-Sep,CHINA,1810
14-Sep,INDONESIA,2400000
14-Sep,INDIA,399
14-Sep,BANGLADESH,5300
14-Sep,VIETNAM,1900000
14-Oct,CHINA,1810
14-Oct,INDONESIA,2400000
14-Oct,INDIA,403
14-Oct,BANGLADESH,5300
14-Oct,VIETNAM,1900000
14-Nov,CHINA,1810
14-Nov,INDONESIA,2400000
14-Nov,INDIA,403
14-Nov,BANGLADESH,5300
14-Nov,VIETNAM,1900000
14-Dec,CHINA,1810
14-Dec,INDONESIA,2400000
14-Dec,INDIA,403
14-Dec,BANGLADESH,5300
14-Dec,VIETNAM,1900000
15-Jan,CHINA,1810
15-Jan,INDONESIA,2700000
15-Jan,INDIA,403
15-Jan,BANGLADESH,5300
15-Jan,VIETNAM,2150000
15-Feb,CHINA,1810
15-Feb,INDONESIA,2700000
15-Feb,INDIA,403
15-Feb,BANGLADESH,5300
15-Feb,VIETNAM,2150000
15-Mar,CHINA,2030
15-Mar,INDONESIA,2700000
15-Mar,INDIA,403
15-Mar,BANGLADESH,5300
15-Mar,VIETNAM,2150000
15-Apr,CHINA,2030
15-Apr,INDONESIA,2700000
15-Apr,INDIA,423
15-Apr,BANGLADESH,5300
15-Apr,VIETNAM,2150000
15-May,CHINA,2030
15-May,INDONESIA,2700000
15-May,INDIA,423
15-May,BANGLADESH,5300
15-May,VIETNAM,2150000
15-Jun,CHINA,2030
15-Jun,INDONESIA,2700000
15-Jun,INDIA,423
15-Jun,BANGLADESH,5300
15-Jun,VIETNAM,2150000
15-Jul,CHINA,2030
15-Jul,INDONESIA,2700000
15-Jul,INDIA,423
15-Jul,BANGLADESH,5300
15-Jul,VIETNAM,2150000
15-Aug,CHINA,2030
15-Aug,INDONESIA,2700000
15-Aug,INDIA,423
15-Aug,BANGLADESH,5300
15-Aug,VIETNAM,2150000
15-Sep,CHINA,2030
15-Sep,INDONESIA,2700000
15-Sep,INDIA,423
15-Sep,BANGLADESH,5300
15-Sep,VIETNAM,2150000
15-Oct,CHINA,2030
15-Oct,INDONESIA,2700000
15-Oct,INDIA,429
15-Oct,BANGLADESH,5300
15-Oct,VIETNAM,2150000
15-Nov,CHINA,2030
15-Nov,INDONESIA,2700000
15-Nov,INDIA,429
15-Nov,BANGLADESH,5300
15-Nov,VIETNAM,2150000
15-Dec,CHINA,2030
15-Dec,INDONESIA,2700000
15-Dec,INDIA,429
15-Dec,BANGLADESH,5300
15-Dec,VIETNAM,2150000
16-Jan,CHINA,2030
16-Jan,INDONESIA,3100000
16-Jan,INDIA,429
16-Jan,BANGLADESH,5300
16-Jan,VIETNAM,2400000
16-Feb,CHINA,2030
16-Feb,INDONESIA,3100000
16-Feb,INDIA,429
16-Feb,BANGLADESH,5300
16-Feb,VIETNAM,2400000
16-Mar,CHINA,2030
16-Mar,INDONESIA,3100000
16-Mar,INDIA,429
16-Mar,BANGLADESH,5300
16-Mar,VIETNAM,2400000
16-Apr,CHINA,2030
16-Apr,INDONESIA,3100000
16-Apr,INDIA,468
16-Apr,BANGLADESH,5300
16-Apr,VIETNAM,2400000
16-May,CHINA,2030
16-May,INDONESIA,3100000
16-May,INDIA,468
16-May,BANGLADESH,5300
16-May,VIETNAM,2400000
16-Jun,CHINA,2030
16-Jun,INDONESIA,3100000
16-Jun,INDIA,468
16-Jun,BANGLADESH,5300
16-Jun,VIETNAM,2400000
16-Jul,CHINA,2030
16-Jul,INDONESIA,3100000
16-Jul,INDIA,468
16-Jul,BANGLADESH,5300
16-Jul,VIETNAM,2400000
16-Aug,CHINA,2030
16-Aug,INDONESIA,3100000
16-Aug,INDIA,468
16-Aug,BANGLADESH,5300
16-Aug,VIETNAM,2400000
16-Sep,CHINA,2030
