Date,Cotton Type,Price (USD)
18-May-17,CN-FC Index S,90.38
18-May-17,India Shankar-6,85.05
18-May-17,New York Nearby,79.24
18-May-17,Pakistan KCA Spot,80.46
18-May-17,A index Cotton,89.65
19-May-17,China 328,105.76
19-May-17,CN-FC Index S,89.62
19-May-17,India Shankar-6,84.55
19-May-17,New York Nearby,79.45
19-May-17,Pakistan KCA Spot,79.88
19-May-17,A index Cotton,88.75
22-May-17,China 328,105.89
22-May-17,CN-FC Index S,89.91
22-May-17,India Shankar-6,84.19
22-May-17,New York Nearby,79.39
22-May-17,Pakistan KCA Spot,80.25
22-May-17,A index Cotton,89
23-May-17,China 328,105.88
23-May-17,CN-FC Index S,89.91
23-May-17,India Shankar-6,83.9
23-May-17,New York Nearby,77.22
23-May-17,Pakistan KCA Spot,79.09
23-May-17,A index Cotton,88.05
24-May-17,China 328,105.86
24-May-17,CN-FC Index S,89.72
24-May-17,India Shankar-6,84.02
24-May-17,New York Nearby,77.54
24-May-17,Pakistan KCA Spot,79.09
24-May-17,A index Cotton,87
25-May-17,China 328,105.84
25-May-17,CN-FC Index S,89.29
25-May-17,India Shankar-6,84.13
25-May-17,New York Nearby,77.16
25-May-17,Pakistan KCA Spot,78.72
25-May-17,A index Cotton,87.25
26-May-17,China 328,106.09
26-May-17,CN-FC Index S,90
26-May-17,India Shankar-6,84.65
26-May-17,New York Nearby,77.09
26-May-17,Pakistan KCA Spot,79.25
26-May-17,A index Cotton,87.1
29-May-17,China 328,106.41
29-May-17,CN-FC Index S,90
29-May-17,India Shankar-6,85.17
29-May-17,New York Nearby,77.3
29-May-17,Pakistan KCA Spot,79.46
29-May-17,A index Cotton,87.1
30-May-17,China 328,106.34
30-May-17,CN-FC Index S,90
30-May-17,India Shankar-6,85.14
30-May-17,New York Nearby,77.26
30-May-17,Pakistan KCA Spot,80.08
30-May-17,A index Cotton,87.2
31-May-17,China 328,106.37
31-May-17,CN-FC Index S,89.67
31-May-17,India Shankar-6,85.01
31-May-17,New York Nearby,76.98
31-May-17,Pakistan KCA Spot,79.49
31-May-17,A index Cotton,87.2
01-Jun-17,China 328,106.73
01-Jun-17,CN-FC Index S,90
01-Jun-17,India Shankar-6,85.31
01-Jun-17,New York Nearby,77.63
01-Jun-17,Pakistan KCA Spot,79.55
01-Jun-17,A index Cotton,86.95
02-Jun-17,China 328,107.09
02-Jun-17,CN-FC Index S,90
02-Jun-17,India Shankar-6,85.41
02-Jun-17,New York Nearby,76.69
02-Jun-17,Pakistan KCA Spot,79.81
02-Jun-17,A index Cotton,87.7
05-Jun-17,China 328,107.02
05-Jun-17,CN-FC Index S,89.61
05-Jun-17,India Shankar-6,84.75
05-Jun-17,New York Nearby,76.31
05-Jun-17,Pakistan KCA Spot,80.37
05-Jun-17,A index Cotton,86.7
06-Jun-17,China 328,107.18
06-Jun-17,CN-FC Index S,89.27
06-Jun-17,India Shankar-6,84.39
06-Jun-17,New York Nearby,76.02
06-Jun-17,Pakistan KCA Spot,78.96
06-Jun-17,A index Cotton,86.5
07-Jun-17,China 328,107.27
07-Jun-17,CN-FC Index S,89.27
07-Jun-17,India Shankar-6,83.89
07-Jun-17,New York Nearby,75.79
07-Jun-17,Pakistan KCA Spot,79.7
07-Jun-17,A index Cotton,86.4
08-Jun-17,China 328,107.32
08-Jun-17,CN-FC Index S,89.12
08-Jun-17,India Shankar-6,84.24
08-Jun-17,New York Nearby,76.55
08-Jun-17,Pakistan KCA Spot,79.67
08-Jun-17,A index Cotton,86.15
09-Jun-17,China 328,107.33
09-Jun-17,CN-FC Index S,89.72
09-Jun-17,India Shankar-6,84.55
09-Jun-17,New York Nearby,75.69
09-Jun-17,Pakistan KCA Spot,78.89
09-Jun-17,A index Cotton,86.09
12-Jun-17,China 328,107.37
12-Jun-17,CN-FC Index S,89.26
12-Jun-17,India Shankar-6,84.78
12-Jun-17,New York Nearby,75.13
12-Jun-17,Pakistan KCA Spot,80.03
12-Jun-17,A index Cotton,86.25
13-Jun-17,China 328,107.29
13-Jun-17,CN-FC Index S,89.09
13-Jun-17,India Shankar-6,84.42
13-Jun-17,New York Nearby,74.48
13-Jun-17,Pakistan KCA Spot,78.98
13-Jun-17,A index Cotton,86
14-Jun-17,China 328,107.09
14-Jun-17,CN-FC Index S,88.52
14-Jun-17,India Shankar-6,84.43
14-Jun-17,New York Nearby,73.5
14-Jun-17,Pakistan KCA Spot,78.8
14-Jun-17,A index Cotton,85.5
15-Jun-17,China 328,106.95
15-Jun-17,CN-FC Index S,87.53
15-Jun-17,India Shankar-6,84.66
15-Jun-17,New York Nearby,71.91
15-Jun-17,Pakistan KCA Spot,78.37
15-Jun-17,A index Cotton,84.7
16-Jun-17,China 328,106.75
16-Jun-17,CN-FC Index S,86.11
16-Jun-17,India Shankar-6,84.45
16-Jun-17,New York Nearby,71.88
16-Jun-17,Pakistan KCA Spot,78.34
16-Jun-17,A index Cotton,83.4
19-Jun-17,China 328,106.55
19-Jun-17,CN-FC Index S,86.07
19-Jun-17,India Shankar-6,84.73
19-Jun-17,New York Nearby,71.39
19-Jun-17,Pakistan KCA Spot,77.23
19-Jun-17,A index Cotton,83.4
20-Jun-17,China 328,106.49
20-Jun-17,CN-FC Index S,85.59
20-Jun-17,India Shankar-6,84.62
20-Jun-17,New York Nearby,71.35
20-Jun-17,Pakistan KCA Spot,77.83
20-Jun-17,A index Cotton,83
21-Jun-17,China 328,106.16
21-Jun-17,CN-FC Index S,85.59
21-Jun-17,India Shankar-6,84.47
21-Jun-17,New York Nearby,70.89
21-Jun-17,Pakistan KCA Spot,77.62
21-Jun-17,A index Cotton,83
22-Jun-17,China 328,106.07
22-Jun-17,CN-FC Index S,84.91
22-Jun-17,India Shankar-6,84.36
22-Jun-17,New York Nearby,71.14
22-Jun-17,Pakistan KCA Spot,77.06
22-Jun-17,A index Cotton,82.6
23-Jun-17,China 328,106
23-Jun-17,CN-FC Index S,85.02
23-Jun-17,India Shankar-6,84.43
23-Jun-17,New York Nearby,72.65
23-Jun-17,Pakistan KCA Spot,77.29
23-Jun-17,A index Cotton,82.6
26-Jun-17,China 328,105.99
26-Jun-17,CN-FC Index S,85.84
26-Jun-17,India Shankar-6,84.1
26-Jun-17,New York Nearby,73.68
26-Jun-17,Pakistan KCA Spot,77.22
26-Jun-17,A index Cotton,82.95
27-Jun-17,China 328,105.96
27-Jun-17,CN-FC Index S,86.28
27-Jun-17,India Shankar-6,84.19
27-Jun-17,New York Nearby,74.44
27-Jun-17,Pakistan KCA Spot,77.42
27-Jun-17,A index Cotton,83.2
28-Jun-17,China 328,106.07
28-Jun-17,CN-FC Index S,86.94
28-Jun-17,India Shankar-6,84.15
28-Jun-17,New York Nearby,74.41
28-Jun-17,Pakistan KCA Spot,77.14
28-Jun-17,A index Cotton,83.8
29-Jun-17,China 328,106.36
29-Jun-17,CN-FC Index S,86.94
29-Jun-17,India Shankar-6,84.24
29-Jun-17,New York Nearby,74
29-Jun-17,Pakistan KCA Spot,77.5
29-Jun-17,A index Cotton,83.8
30-Jun-17,China 328,106.58
30-Jun-17,CN-FC Index S,86.53
30-Jun-17,India Shankar-6,84.18
30-Jun-17,New York Nearby,75.31
30-Jun-17,Pakistan KCA Spot,77.3
30-Jun-17,A index Cotton,83.8

