Date,Cotton Type,Price (USD)
01-May-12,New York Nearby,79.63
01-May-12,Pakistan KCA Spot,78.51
01-May-12,A index Cotton,88.53
01-Jun-12,China 328,131.73
01-Jun-12,CN-FC Index S,86.5
01-Jun-12,India Shankar-6,74.66
01-Jun-12,New York Nearby,69.45
01-Jun-12,Pakistan KCA Spot,74.02
01-Jun-12,A index Cotton,82.18
01-Jul-12,China 328,130.8
01-Jul-12,CN-FC Index S,88.94
01-Jul-12,India Shankar-6,83.29
01-Jul-12,New York Nearby,70.92
01-Jul-12,Pakistan KCA Spot,75.82
01-Jul-12,A index Cotton,83.97
01-Aug-12,China 328,131.71
01-Aug-12,CN-FC Index S,90.95
01-Aug-12,India Shankar-6,87.35
01-Aug-12,New York Nearby,74.09
01-Aug-12,Pakistan KCA Spot,73.27
01-Aug-12,A index Cotton,84.46
01-Sep-12,China 328,133.4
01-Sep-12,CN-FC Index S,91.56
01-Sep-12,India Shankar-6,83.27
01-Sep-12,New York Nearby,73.28
01-Sep-12,Pakistan KCA Spot,70.8
01-Sep-12,A index Cotton,84.15
01-Oct-12,China 328,134.46
01-Oct-12,CN-FC Index S,88.88
01-Oct-12,India Shankar-6,80.54
01-Oct-12,New York Nearby,72.99
01-Oct-12,Pakistan KCA Spot,69.65
01-Oct-12,A index Cotton,81.95
01-Nov-12,China 328,135.67
01-Nov-12,CN-FC Index S,86.96
01-Nov-12,India Shankar-6,78.17
01-Nov-12,New York Nearby,71.16
01-Nov-12,Pakistan KCA Spot,73.32
01-Nov-12,A index Cotton,80.97
01-Dec-12,China 328,137.38
01-Dec-12,CN-FC Index S,89.09
01-Dec-12,India Shankar-6,78.72
01-Dec-12,New York Nearby,74.97
01-Dec-12,Pakistan KCA Spot,73.69
01-Dec-12,A index Cotton,83.37
01-Jan-13,China 328,139.05
01-Jan-13,CN-FC Index S,90.9
01-Jan-13,India Shankar-6,78.66
01-Jan-13,New York Nearby,78.13
01-Jan-13,Pakistan KCA Spot,74.05
01-Jan-13,A index Cotton,85.51
01-Feb-13,China 328,139.04
01-Feb-13,CN-FC Index S,95
01-Feb-13,India Shankar-6,82.84
01-Feb-13,New York Nearby,81.78
